Sort,VcfOrder,SampID,Voucher,Year_coll,Cluster,Species,County,Ecoregion,Longitude,Latitude
29,MVZCCGP-CaOr151_II-A04,MVZCCGP-CaOr151_II-A04,MVZ:Bird:181773,2003,CC_NWCal,Callipepla_californica,Marin County,Northern California Coast,-122.6853,37.9094
30,MVZCCGP-CaOr155_II-E04,MVZCCGP-CaOr155_II-E04,MWFB:Bird:15490,2017,CC_SN,Callipepla_californica,Madera County,Sierra Nevada Foothills,-119.7156,37.342407
31,MVZCCGP-CaOr27_II-C07,MVZCCGP-CaOr27_II-C07,LACM:Bird:104987,1990,CC_NWCal,Callipepla_californica,Lake County,Northern California Coast Ranges,-122.6160965,38.7523041
32,MVZCCGP-CaOr24_I-C03,MVZCCGP-CaOr24_I-C03,MVZ uncataloged,2008,CC_SN,Callipepla_californica,Kern County,Sierra Nevada Foothills,-118.44392,35.58906
33,MVZCCGP-CaOr54_I-D06,MVZCCGP-CaOr54_I-D06,MVZ:Bird:183922,2009,CC_NWCal,Callipepla_californica,Napa County,Northern California Coast,-122.250662,38.367617
34,MVZCCGP-CaOr61_I-H06,MVZCCGP-CaOr61_I-H06,SDMNH:Bird:53420,2012,CC_SoCal,Callipepla_californica,Riverside County,Southern California Mountains and Valleys,-116.4415,33.5986
35,MVZCCGP-CaOr58_I-F06,MVZCCGP-CaOr58_I-F06,SDMNH:Bird:52901,2010,CC_SoCal,Callipepla_californica,Riverside County,Colorado Desert,-116.6806,33.8961
36,MVZCCGP-CaOr75_I-C08,MVZCCGP-CaOr75_I-C08,SDMNH:Bird:54379,2012,CC_SoCal,Callipepla_californica,San Diego County,Southern California Coast,-117.25,33.38
37,MVZCCGP-CaOr95_I-H09,MVZCCGP-CaOr95_I-H09,MVZ uncataloged,2018?,CC_NWCal,Callipepla_californica,Sonoma County,Northern California Coast,-122.57712,38.33171
38,MVZCCGP-CaOr157_II-F04,MVZCCGP-CaOr157_II-F04,MWFB:Bird:10100,2012,CC_NWCal,Callipepla_californica,Napa County,Northern California Interior Coast Ranges,-122.1395,38.482
39,MVZCCGP-CaOr17_I-D02,MVZCCGP-CaOr17_I-D02,LACM:Bird:114002,2004,CC_SN,Callipepla_californica,Inyo County,Mono,-118.2940292,37.1661072
40,MVZCCGP-CaOr19_I-F02,MVZCCGP-CaOr19_I-F02,LACM:Bird:114409,2006,CC_SN,Callipepla_californica,Inyo County,Mono,-118.3957214,37.3652992
41,MVZCCGP-CaOr47_I-E05,MVZCCGP-CaOr47_I-E05,2021_sample,2021,CC_SN,Callipepla_californica,Modoc County,Northwestern Basin and Range,-120.13042,41.41766
42,MVZCCGP-CaOr41_I-H04,MVZCCGP-CaOr41_I-H04,MVZ:Bird:188660,2004,CC_NWCal,Callipepla_californica,Marin County,Northern California Coast,-122.706329,37.917682
43,MVZCCGP-CaOr74_I-B08,MVZCCGP-CaOr74_I-B08,SDMNH:Bird:53725,2012,CC_SoCal,Callipepla_californica,San Diego County,Southern California Mountains and Valleys,-116.44,33.08
44,MVZCCGP-CaOr123_II-E02,MVZCCGP-CaOr123_II-E02,SDNHM:Bird:55047,2017,Gambels,Callipepla_gambelii,San Bernardino County,Southern California Mountains and Valleys,-116.2549,34.0372
45,MVZCCGP-CaOr158_II-G04,MVZCCGP-CaOr158_II-G04,MWFB:Bird:10419,2012,CC_NWCal,Callipepla_californica,Napa County,Northern California Interior Coast Ranges,-122.1395,38.482
46,MVZCCGP-CaOr153_II-C04,MVZCCGP-CaOr153_II-C04,MWFB:Bird:13005,2019,CC_NWCal,Callipepla_californica,Glenn County,Great Valley,-121.98695,39.230883
47,MVZCCGP-CaOr39_I-F04,MVZCCGP-CaOr39_I-F04,MVZ:Bird:188656,2003,CC_NWCal,Callipepla_californica,Marin County,Northern California Coast,-122.662652,38.117475
48,MVZCCGP-CaOr50_I-H05,MVZCCGP-CaOr50_I-H05,MVZ:Bird:183078,2004,CC_SN,Callipepla_californica,Monterey County,Central California Coast,-121.55,36.38749
49,MVZCCGP-CaOr33_I-A04,MVZCCGP-CaOr33_I-A04,LACM:Bird:115852,2011,CC_SN,Callipepla_californica,Los Angeles County,Southern California Coast,-118.576219,34.159718
50,MVZCCGP-CaOr76_I-D08,MVZCCGP-CaOr76_I-D08,SDMNH:Bird:54755,2010,CC_SoCal,Callipepla_californica,San Diego County,Colorado Desert,-116.3258,33.1893
